,open,high,low,close,vol
20160725,80300,81400,79200,79800,
20160722,82100,82600,80200,80900,
20160721,80200,83000,79900,82100,
20160720,78500,79600,78300,79500,
20160719,77900,78500,77000,77600,
20160718,78300,78700,76900,77200,
20160715,80200,80400,78300,78500,
20160714,77700,79800,77600,79700,
20160713,78900,80300,77700,77700,
20160712,79600,79700,78100,78900,
20160711,76700,79700,76600,79200,
20160708,73600,76000,73400,75700,
20160707,72700,73900,71900,73800,
20160706,73100,73200,71100,72100,
20160705,71400,73400,71200,73000,
20160704,71500,72600,71300,71600,
20160701,73400,73500,72000,72000,
20160630,73900,74400,72700,73200,
20160629,71500,73800,71100,73100,
20160628,69400,71000,69300,70000,
20160627,66500,70300,66100,69900,
20160624,71000,71100,66800,67900,
20160623,69400,70300,68700,70200,
20160622,69300,71000,69000,69200,
20160621,68700,69400,68300,69200,
20160620,68500,69600,68400,69100,
20160617,67300,68500,66800,67400,
20160616,68500,68700,66600,66700,
20160615,67600,68700,66600,68000,
20160614,69600,70300,67800,68000,
20160613,71800,72000,70000,70000,
20160610,70200,72300,70000,71700,
20160609,71100,71100,69700,69900,
20160608,70900,71300,70500,71200,
20160607,69400,71100,69100,70900,
20160603,66500,69100,66200,68800,
20160602,67000,67100,66100,66700,
20160601,66700,67400,66500,67100,
20160531,66000,66900,65600,66900,
20160530,65800,66800,65200,66300,
20160527,65000,66300,63800,66300,
20160526,65000,65300,64000,64100,
20160525,65200,65700,64100,64600,
20160524,65700,66400,64500,64700,
20160523,63400,66400,63400,65900,
20160520,62600,63700,62600,63400,
20160519,63100,63800,62400,62800,
20160518,64100,64500,63100,63400,
20160517,64300,65300,63300,64600,
20160516,64800,64900,64000,64300,
20160513,65600,66200,64900,64900,
20160512,64700,65400,64600,65200,
20160511,66000,66000,64600,64900,
20160510,64700,65800,64700,65500,
20160509,66500,66900,65100,65500,
20160504,67700,68200,67000,67300,
20160503,68700,68800,68000,68100,
20160502,67500,68900,67300,68300,
20160429,66500,67800,66500,67800,
20160428,67600,67600,66000,66500,
20160427,69200,70000,67200,67700,
20160426,68900,69400,68300,69200,
20160425,69200,69700,68200,68700,
20160422,69100,69400,68500,69300,
20160421,68200,69000,67600,68900,
20160420,69100,69400,68100,68200,
20160419,69200,69200,68100,68700,
20160418,68500,69400,67700,68700,
20160415,65100,68400,65100,68400,
20160414,65900,66400,64800,64800,
20160412,64600,65300,64500,65200,
20160411,65400,65800,64500,64700,
20160408,65500,65900,65100,65500,
20160407,65800,66800,65600,65900,
20160406,66300,67200,65500,66100,
20160405,65200,67300,65200,66700,
20160404,65300,65600,64000,64700,
20160401,65700,66700,65200,65300,
20160331,65100,65800,64600,65200,
20160330,67200,67400,65000,65200,
20160329,67400,68400,66600,67100,
20160328,67300,68900,67200,67700,
20160325,67600,67900,66700,66900,
20160324,67800,68700,67200,67600,
20160323,70100,70600,68000,68100,
20160322,70200,71200,69800,70200,
20160321,70500,71000,69500,69800,
20160318,72000,72000,70300,70400,
20160317,71800,72300,70700,71400,
20160316,73200,74600,73100,74000,
20160315,72900,73800,72900,73000,
20160314,73600,74300,72800,72800,
20160311,73400,73500,72500,73100,
20160310,72000,73700,72000,73700,
20160309,72600,72700,71300,72200,
20160308,73500,74100,72100,73000,
20160307,75400,76500,73300,73500,
20160304,72000,74600,71100,74500,
20160303,71000,72000,70800,71800,
20160302,71800,72100,70700,71100,
20160229,70500,71100,70100,70800,
20160226,71100,71300,69500,70000,
20160225,72900,73000,71000,71100,
20160224,72700,73200,71600,72400,
20160223,73300,73400,72000,73000,
20160222,70700,72800,70200,72800,
20160219,71100,72400,70500,70700,
20160218,71200,73300,71100,71800,
20160217,73500,73500,70000,70000,
20160216,71500,73700,70900,73300,
20160215,68600,71000,68100,70900,
20160212,68900,69200,65800,68000,
20160211,68500,70000,68500,69400,
20160205,72000,72000,70100,70600,
20160204,71500,72000,70500,72000,
20160203,71500,71800,70600,71100,
20160202,72900,73300,71600,72200,
20160201,72300,74200,72200,72700,
20160129,70600,72100,70000,70800,
20160128,68000,70200,67800,70100,
20160127,68600,69500,67200,68200,
20160126,68400,68700,66700,67700,
20160125,65400,68800,64800,68500,
20160122,64000,65300,63100,65000,
20160121,64200,65300,62300,62900,
20160120,66900,67500,63600,64300,
20160119,67200,67500,65700,66700,
20160118,66700,67800,64900,67600,
20160115,68200,69500,66700,66800,
20160114,67000,69100,66600,67800,
20160113,66500,69000,66300,68000,
20160112,65600,66500,65100,65400,
20160111,66700,67000,64400,64900,
20160108,68600,69000,66600,67900,
20160107,69700,71200,68500,69500,
20160106,70300,72200,68800,69300,
20160105,76300,78300,76300,77100,
20160104,78100,78600,76100,76900,
20151230,80000,80400,77700,78100,
20151229,82300,82300,79600,79700,
20151228,85200,85700,79600,79600,
20151224,81000,84800,81000,84000,
20151223,80800,81600,80200,80900,
20151222,78800,81400,78800,80700,
20151221,77500,78400,76900,77900,
20151218,81900,83300,80200,80500,
20151217,79000,81500,78200,80600,
20151216,78800,79200,77500,78200,
20151215,77100,78000,76200,78000,
20151214,74900,77300,74000,76900,
20151211,76600,78300,75600,76200,
20151210,78100,79500,76300,76500,
20151209,77200,79600,73400,78900,
20151208,80800,81800,78900,79500,
20151207,84400,84700,80700,80700,
20151204,83200,84700,83100,83700,
20151203,86200,86200,83600,83900,
20151202,86800,87600,85100,85400,
20151201,83500,84800,83500,84300,
20151130,84400,85200,83800,83900,
20151127,85100,85900,84100,84400,
20151126,84900,86400,82100,85400,
20151125,79000,85500,78800,84300,
20151124,89800,89800,86300,86500,
20151123,88200,90000,88200,89400,
20151120,86400,88000,84600,85300,
20151119,85300,86500,84200,86400,
20151118,88900,89300,84600,84600,
20151117,86300,89100,84800,88400,
20151116,86300,86500,84400,84500,
20151113,86200,87800,86000,87200,
20151112,86500,89200,86500,87700,
20151111,90200,90400,87100,87100,
20151110,88500,92200,85300,90800,
20151109,91300,92800,89400,89900,
20151106,92400,93700,92200,92800,
20151105,92400,93000,91900,92900,
20151104,92100,93600,91500,92900,
20151103,88700,91600,88700,91000,
20151102,89900,90000,87000,89400,
20151030,88100,91000,87800,90000,
20151029,88000,88700,86600,88300,
20151028,85700,88200,85100,88000,
20151027,78900,83600,78900,83600,
20151026,80100,80700,78300,79400,
20151023,77700,79900,77500,79500,
20151022,79100,80300,76500,77700,
20151021,78800,79500,77700,78000,
20151020,74700,78600,74500,78500,
20151019,72800,75200,72100,73800,
20151016,73200,74800,72300,73200,
20151015,76000,76400,74100,75400,
20151014,72900,75000,72100,75000,
20151013,70300,72700,69300,71700,
20151012,74400,74900,73000,73300,
20151008,75300,75400,72700,73800,
20151007,75000,75700,73500,74600,
20151006,74500,75000,71000,73900,
20151005,74500,76000,73200,74300,
20151002,73400,75900,72200,72600,
20151001,70000,73100,69600,72400,
20150930,69700,70800,66200,67900,
20150925,77300,78400,69600,73000,
20150924,81900,82500,80000,80700,
20150923,84500,84900,80000,80900,
20150922,84700,86400,84100,86400,
20150921,87400,87500,84700,85400,
20150918,84300,88600,83800,88300,
20150917,85700,85900,82500,83100,
20150916,84300,85200,83000,84200,
